md5,folder,tags,canonical_path,duplicate_paths,copy_name
0006b8f81b6797c5a982e59a82e993c9,non_talc_bearing__fine,fine|non_talc_bearing,Фото руд по сортам. ч1/Труднообогатимые руды/2550500-1 10x.JPG,,0006b8f81b67_2550500-1 10x.JPG
006d324da9758b6d48cf0c641a979caa,unknown_talc__coarse,coarse,Фото руд по сортам. ч2/рядовые/93.JPG,,006d324da975_93.JPG
00994fd07e60873becd87b053ef013a2,unknown_talc__fine,fine,Фото руд по сортам. ч2/тонкие/DSCN4301.JPG,,00994fd07e60_DSCN4301.JPG
00b711fd520838db837fc26da0f231b8,unknown_talc__fine,fine,Фото руд по сортам. ч2/тонкие/66_.jpg,,00b711fd5208_66_.jpg
00f803527cf75eeb4cc3430c3c600887,unknown_talc__fine,fine,Фото руд по сортам. ч2/тонкие/DSCN8752.JPG,,00f803527cf7_DSCN8752.JPG
0119851d870cec4b198f037fac22239f,unknown_talc__fine,fine,Фото руд по сортам. ч2/тонкие/34.jpg,,0119851d870c_34.jpg
0122cd3c6ecd4d3c27b3bd49da095371,unknown_talc__coarse,coarse,Фото руд по сортам. ч2/рядовые/DSCN4291.JPG,,0122cd3c6ecd_DSCN4291.JPG
019481fae7cff1bc27b2df5cf9d41470,unknown_talc__coarse,coarse,Фото руд по сортам. ч2/рядовые/143.JPG,,019481fae7cf_143.JPG
01b97d11b6493420eb9fc6be79410fb4,unknown_talc__coarse_and_fine,coarse|fine,Фото руд по сортам. ч2/рядовые/DSCN3444.JPG,Фото руд по сортам. ч2/тонкие/DSCN3444.JPG,01b97d11b649_DSCN3444.JPG
01ba3b9c940180b4a2857d9031e3c48d,unknown_talc__fine,fine,Фото руд по сортам. ч2/тонкие/110_.jpg,,01ba3b9c9401_110_.jpg
01d13579ca4ddb6774ca1cfcfd38e302,unknown_talc__fine,fine,Фото руд по сортам. ч2/тонкие/DSCN1972.JPG,,01d13579ca4d_DSCN1972.JPG
02102e55dec660960a8638533f7c66f2,unknown_talc__fine,fine,Фото руд по сортам. ч2/тонкие/106.JPG,,02102e55dec6_106.JPG
022808c77ad4fd1ab91da334245eb085,unknown_talc__coarse,coarse,Фото руд по сортам. ч2/рядовые/DSCN4391.JPG,,022808c77ad4_DSCN4391.JPG
027c6454983a96fdbcc938ef763e3a88,unknown_talc__coarse,coarse,Фото руд по сортам. ч2/рядовые/162.JPG,,027c6454983a_162.JPG
0292b4285521771ce833fa43db630cae,unknown_talc__fine,fine,Фото руд по сортам. ч2/тонкие/69 1.jpg,,0292b4285521_69 1.jpg
02d340ca0573172d85a7090d55f139e6,unknown_talc__fine,fine,Фото руд по сортам. ч2/тонкие/DSCN4356.JPG,,02d340ca0573_DSCN4356.JPG
02d7055fe3fe7116f1359b494029892e,unknown_talc__fine,fine,Фото руд по сортам. ч2/тонкие/DSCN1984.JPG,,02d7055fe3fe_DSCN1984.JPG
03067234b089238cc0479b3f914a8219,unknown_talc__fine,fine,Фото руд по сортам. ч2/тонкие/DSCN2935.JPG,,03067234b089_DSCN2935.JPG
0347d9d1b6637299584c9630157ab52c,unknown_talc__coarse,coarse,Фото руд по сортам. ч2/рядовые/87_.jpg,,0347d9d1b663_87_.jpg
03733a78caf6d1c0e3b66cbab2716e1e,unknown_talc__coarse,coarse,Фото руд по сортам. ч2/рядовые/DSCN3083.JPG,,03733a78caf6_DSCN3083.JPG
038d1a319d9f0bb2713336b4aa40cd52,unknown_talc__coarse,coarse,Фото руд по сортам. ч2/рядовые/31.jpg,,038d1a319d9f_31.jpg
0399f55beb451acf362f77c75ec780e9,unknown_talc__fine,fine,Фото руд по сортам. ч2/тонкие/59_.jpg,,0399f55beb45_59_.jpg
03b372731e6adcd766ceaf1249e8cd79,unknown_talc__coarse,coarse,Фото руд по сортам. ч2/рядовые/DSCN2363.JPG,,03b372731e6a_DSCN2363.JPG
03b8e543b3e71ff00f3ce2acf9811aa2,unknown_talc__fine,fine,Фото руд по сортам. ч2/тонкие/DSCN4315.JPG,,03b8e543b3e7_DSCN4315.JPG
03e7642902fd225da7e8ca3100df3ac6,unknown_talc__coarse,coarse,Фото руд по сортам. ч2/рядовые/29_.jpg,,03e7642902fd_29_.jpg
0432a4e69695ba18867b825466e85b9c,unknown_talc__fine,fine,Фото руд по сортам. ч2/тонкие/DSCN0997.JPG,,0432a4e69695_DSCN0997.JPG
04721788ba946c03095af4a2a04f7eb1,unknown_talc__fine,fine,Фото руд по сортам. ч2/тонкие/DSCN4403.JPG,,04721788ba94_DSCN4403.JPG
049ba2cd2ce03c801fb77729b388bd29,unknown_talc__fine,fine,Фото руд по сортам. ч2/тонкие/DSCN3266.JPG,,049ba2cd2ce0_DSCN3266.JPG
04edc923d455703fe8b6f1f310063078,unknown_talc__fine,fine,Фото руд по сортам. ч2/тонкие/93.JPG,,04edc923d455_93.JPG
0516ec24f7a854495b364eb3df02b5d6,unknown_talc__fine,fine,Фото руд по сортам. ч2/тонкие/DSCN0464.JPG,,0516ec24f7a8_DSCN0464.JPG
0541f925af732fbc9e93e53b7eb71fac,talc_bearing__unknown_intergrowth,talc_bearing,Фото руд по сортам. ч1/Оталькованные руды/DSCN4714.JPG,,0541f925af73_DSCN4714.JPG
056ae3175af2c04cc7f2532c64c9f5ee,unknown_talc__coarse,coarse,Фото руд по сортам. ч2/рядовые/75.JPG,,056ae3175af2_75.JPG
0631895b651df97eaa0387e13d0cbd07,non_talc_bearing__fine,fine|non_talc_bearing,Фото руд по сортам. ч1/Труднообогатимые руды/2539586-1.JPG,,0631895b651d_2539586-1.JPG
06402a4c9ea066d312ad2ad0ad55a9a8,unknown_talc__coarse,coarse,Фото руд по сортам. ч2/рядовые/23_.jpg,,06402a4c9ea0_23_.jpg
06b58fd634557367bd26e8b41201c849,talc_bearing__coarse,coarse|talc_bearing,Фото руд по сортам. ч2/оталькованные/DSCN4290.JPG,Фото руд по сортам. ч2/рядовые/DSCN4290.JPG,06b58fd63455_DSCN4290.JPG
06cbebedf2e88e9b70eec37da34b4d0b,unknown_talc__coarse,coarse,Фото руд по сортам. ч2/рядовые/DSCN3289.JPG,,06cbebedf2e8_DSCN3289.JPG
076579d1287915362a00bd330c651181,unknown_talc__coarse,coarse,Фото руд по сортам. ч2/рядовые/-32.jpg,,076579d12879_-32.jpg
076781ff1bfd046c511ae5f0513aae6d,unknown_talc__fine,fine,Фото руд по сортам. ч2/тонкие/DSCN4497.JPG,,076781ff1bfd_DSCN4497.JPG
0776aace1c5261974cc3e53c6dda87a6,unknown_talc__fine,fine,Фото руд по сортам. ч2/тонкие/DSCN4340.JPG,,0776aace1c52_DSCN4340.JPG
07a2aa4e69992da08bd6f49b9fc7576f,unknown_talc__coarse,coarse,Фото руд по сортам. ч2/рядовые/1820355 4.jpg,,07a2aa4e6999_1820355 4.jpg
